"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"RP11-298J23.8",3,0.01731,0.714,"extend survival"
"RP11-1191J2.2",70,0.017312,1.401,"reduce survival"
"CETN2",778,0.017355,1.399,"reduce survival"
"ZNF888",5,0.017367,1.4,"reduce survival"
"COX19",560,0.017387,1.399,"reduce survival"
"PHRF1",2495,0.017392,1.4,"reduce survival"
"RP5-1002M8.4",1,0.017403,1.412,"reduce survival"
"SPATA13-AS1",1,0.017414,1.407,"reduce survival"
"RP11-686G8.2",10,0.017417,1.399,"reduce survival"
"RP11-529H20.3",1,0.01742,1.41,"reduce survival"
"RP11-466A19.8",1,0.017423,1.427,"reduce survival"
"IFT74",289,0.017432,1.4,"reduce survival"
"RP11-181C21.4",6,0.017438,1.4,"reduce survival"
"MAP3K3",704,0.017443,1.401,"reduce survival"
"CTC-479C5.10",11,0.017466,1.4,"reduce survival"
"OSM",92,0.017473,1.4,"reduce survival"
"AP000569.9",1,0.017479,0.705,"extend survival"
"RP11-524D16__A.3",21,0.017513,1.399,"reduce survival"
"KCNG4",3,0.017514,0.707,"extend survival"
"COL9A3",2248,0.017555,1.399,"reduce survival"
"C1orf213",310,0.017578,1.4,"reduce survival"
"PCYT2",1717,0.01758,0.714,"extend survival"
"ZNF558",125,0.017595,1.4,"reduce survival"
"RP11-127H5.1",1,0.017599,0.672,"extend survival"
"KNTC1",425,0.017608,1.398,"reduce survival"
"ZNF684",146,0.017618,1.4,"reduce survival"
"AC108488.3",207,0.017632,1.399,"reduce survival"
"TCERG1",1412,0.017684,1.4,"reduce survival"
"RP11-290M5.4",7,0.017685,1.397,"reduce survival"
"ZNF331",766,0.017689,1.399,"reduce survival"
"EVA1C",588,0.01769,1.398,"reduce survival"
"SON",4660,0.017695,1.4,"reduce survival"
"LUC7L3",5949,0.01771,1.399,"reduce survival"
"CTD-2583A14.11",28,0.017711,1.399,"reduce survival"
"FAM129A",528,0.017714,1.399,"reduce survival"
"TRIM14",992,0.017714,1.396,"reduce survival"
"AC010729.2",6,0.017719,1.397,"reduce survival"
"KB-1517D11.4",4,0.01773,0.715,"extend survival"
"LAMTOR5-AS1",56,0.017732,1.399,"reduce survival"
"RP5-837J1.4",6,0.017758,1.399,"reduce survival"
"MB21D1",93,0.017786,1.397,"reduce survival"
"AC002480.3",11,0.017789,1.398,"reduce survival"
"UTP20",528,0.017789,1.399,"reduce survival"
"ACSS3",594,0.0178,1.398,"reduce survival"
"SSTR2",50,0.017807,0.715,"extend survival"
"DYNC1I2",2484,0.017824,1.398,"reduce survival"
"DCUN1D2-AS",4,0.017829,1.399,"reduce survival"
"RBM45",338,0.017844,1.397,"reduce survival"
"PHEX",114,0.017848,1.398,"reduce survival"
"SYT15",5,0.017862,0.715,"extend survival"
"KIAA1009",285,0.017917,1.399,"reduce survival"
"PVT1",224,0.017922,1.396,"reduce survival"
"SLC5A6",1059,0.017927,1.396,"reduce survival"
"GATAD2A",2471,0.017939,1.397,"reduce survival"
"CCT6A",4892,0.017971,1.397,"reduce survival"
"PHACTR4",1089,0.017991,1.399,"reduce survival"
"OGDHL",259,0.017997,0.716,"extend survival"
"MAFB",1107,0.017998,1.398,"reduce survival"
"CLEC18C",20,0.01801,1.396,"reduce survival"
"ETV6",876,0.018011,1.397,"reduce survival"
"GALNT5",21,0.018019,1.396,"reduce survival"
"TAF4",567,0.01803,1.398,"reduce survival"
"RPSAP14",1,0.01806,1.396,"reduce survival"
"RP3-405J10.3",12,0.018061,1.398,"reduce survival"
"AC005562.1",5,0.018063,1.398,"reduce survival"
"HIST1H2AC",922,0.018066,1.396,"reduce survival"
"SPOCD1",1655,0.018072,1.397,"reduce survival"
"C4orf47",92,0.01808,1.398,"reduce survival"
"LEPRE1",1252,0.018119,1.396,"reduce survival"
"ATG7",681,0.018125,1.396,"reduce survival"
"FAM210B",1540,0.018128,1.397,"reduce survival"
"PRKRIP1",512,0.018133,1.395,"reduce survival"
"MLANA",7,0.01815,1.398,"reduce survival"
"AC010886.2",1,0.018153,1.416,"reduce survival"
"FZD1",579,0.01817,1.396,"reduce survival"
"C15orf37",5,0.018171,1.396,"reduce survival"
"MEST",293,0.018178,1.396,"reduce survival"
"LECT1",23,0.018186,1.397,"reduce survival"
"RP11-466C23.4",3,0.018193,1.399,"reduce survival"
"CRTC3",1294,0.018205,1.396,"reduce survival"
"AC009133.12",37,0.018275,1.397,"reduce survival"
"RP11-45L9.1",4,0.018279,1.397,"reduce survival"
"RP11-909N17.3",4,0.018291,1.395,"reduce survival"
"RP11-295H24.3",2,0.018304,1.397,"reduce survival"
"MYH13",1,0.018324,0.715,"extend survival"
"MS4A4E",67,0.018361,1.397,"reduce survival"
"FAM193A",1299,0.018368,1.396,"reduce survival"
"GSN-AS1",61,0.01837,1.396,"reduce survival"
"SEMA4C",2328,0.018371,1.396,"reduce survival"
"CTD-2561J22.2",38,0.018409,1.397,"reduce survival"
"SRRM1",2016,0.018416,1.397,"reduce survival"
"RP11-887P2.5",4,0.018422,1.396,"reduce survival"
"FNTB",446,0.01843,1.393,"reduce survival"
"AIRN",1,0.018433,0.712,"extend survival"
"RABL2A",696,0.018451,1.396,"reduce survival"
"RFTN1",1186,0.018458,1.395,"reduce survival"
"HSPD1",6435,0.018467,1.393,"reduce survival"
"RFX3",777,0.018474,1.396,"reduce survival"
"COX4I1",10283,0.018475,0.716,"extend survival"
"CTD-2201E18.3",123,0.018475,1.394,"reduce survival"
"DGCR6",1063,0.018475,0.716,"extend survival"
"TNFRSF12A",1639,0.018528,1.395,"reduce survival"
"TMEM9B-AS1",79,0.018529,1.396,"reduce survival"
"NUPR1L",3,0.01854,0.715,"extend survival"
"PARS2",149,0.018546,1.394,"reduce survival"
"LPGAT1",1204,0.018594,1.395,"reduce survival"
"RP5-1112D6.8",36,0.018594,1.395,"reduce survival"
"GYG2",605,0.018603,1.395,"reduce survival"
"MAK",38,0.018611,1.397,"reduce survival"
"MTBP",135,0.018626,1.394,"reduce survival"
"RALGAPA2",643,0.018634,1.397,"reduce survival"
"FGFBP2",27,0.018635,1.395,"reduce survival"
"NRBP1",3137,0.018647,1.391,"reduce survival"
"POGLUT1",578,0.018654,1.394,"reduce survival"
"KLB",9,0.018719,0.714,"extend survival"
"UBE3B",1220,0.018736,1.395,"reduce survival"
"BICD1",1028,0.018748,1.394,"reduce survival"
"RP11-572M11.4",5,0.018774,1.393,"reduce survival"
"RAE1",952,0.018834,1.39,"reduce survival"
"LOX",250,0.018865,1.394,"reduce survival"
"GRK7",4,0.018914,1.393,"reduce survival"
"INADL",396,0.018926,1.394,"reduce survival"
"RBM4",137,0.018952,1.393,"reduce survival"
"ZNF180",165,0.018962,1.395,"reduce survival"
"USP4",1486,0.018968,1.395,"reduce survival"
"ZNF30",212,0.018972,1.394,"reduce survival"
"TIA1",2318,0.01901,1.395,"reduce survival"
"KB-1410C5.5",20,0.019076,0.717,"extend survival"
"ITK",25,0.019083,1.393,"reduce survival"
"ANKIB1",1940,0.019119,1.394,"reduce survival"
"NDOR1",896,0.019128,1.394,"reduce survival"
"HEXIM1",1946,0.019131,1.394,"reduce survival"
"AC002519.8",1,0.019159,1.393,"reduce survival"
"RIPK1",1056,0.01916,1.393,"reduce survival"
"AGBL2",59,0.019185,1.394,"reduce survival"
"AC008440.10",6,0.019217,1.393,"reduce survival"
"RBFOX3",124,0.019218,0.718,"extend survival"
"AGAP1",2695,0.019226,1.392,"reduce survival"
"RP11-807H7.2",1,0.019244,1.408,"reduce survival"
"RP11-432F4.2",1,0.019249,1.412,"reduce survival"
"RP11-170M17.2",7,0.019265,0.717,"extend survival"
"TSKU",523,0.019276,1.392,"reduce survival"
"PDIA3",6430,0.019284,1.392,"reduce survival"
"MLH3",542,0.019305,1.394,"reduce survival"
"KIFC3",1302,0.019311,1.391,"reduce survival"
"RP11-389K14.3",3,0.01934,1.392,"reduce survival"
"RPS4XP16",13,0.019344,1.392,"reduce survival"
"EP400NL",346,0.019352,1.392,"reduce survival"
"GOSR2",667,0.019384,1.391,"reduce survival"
"GS1-259H13.7",1,0.019404,1.392,"reduce survival"
"AC067959.1",1,0.019405,0.704,"extend survival"
"PPARD",2317,0.019426,1.39,"reduce survival"
"RPS6KA2-IT1",5,0.019457,1.393,"reduce survival"
"LYST",980,0.019471,1.393,"reduce survival"
"RAVER1",750,0.019497,1.39,"reduce survival"
"CACNG3",14,0.019505,0.718,"extend survival"
"SRSF5",7574,0.019521,1.392,"reduce survival"
"TTC31",653,0.019526,1.392,"reduce survival"
"SNORA71C",5,0.019533,1.39,"reduce survival"
"LINC00880",2,0.019547,1.391,"reduce survival"
"CTD-2319I12.3",3,0.019558,1.392,"reduce survival"
"ADAMTS18",44,0.019565,1.392,"reduce survival"
"IL37",1,0.019581,1.389,"reduce survival"
"GALNS",825,0.019591,1.392,"reduce survival"
"PCDHGA1",29,0.019593,1.392,"reduce survival"
"CTD-2541M15.1",47,0.019621,1.392,"reduce survival"
"RP11-536G4.2",1,0.019624,1.392,"reduce survival"
"AC147651.3",89,0.019644,1.388,"reduce survival"
"WNT7B",137,0.019648,0.718,"extend survival"
"ZNF433",108,0.01965,1.392,"reduce survival"
"MYOC",1,0.019664,0.712,"extend survival"
"RP11-658F2.8",249,0.01967,1.392,"reduce survival"
"NDE1",488,0.01969,1.391,"reduce survival"
"CCDC71",540,0.019712,1.388,"reduce survival"
"PAXBP1",1510,0.019715,1.392,"reduce survival"
"PREB",1710,0.019718,1.389,"reduce survival"
"TMEM159",265,0.019733,1.389,"reduce survival"
"DCTD",1558,0.019745,1.39,"reduce survival"
"RP4-647C14.3",4,0.01978,1.391,"reduce survival"
"HTT-AS",3,0.019792,1.391,"reduce survival"
"RP11-245J24.1",2,0.019802,0.717,"extend survival"
"APOC2",8,0.019805,1.389,"reduce survival"
"PDCD1",24,0.019806,1.39,"reduce survival"
"NDUFAF7",375,0.019819,1.389,"reduce survival"
"ZNF585B",493,0.019824,1.391,"reduce survival"
"PRSS51",38,0.019839,1.391,"reduce survival"
"RAB13",4337,0.019869,1.39,"reduce survival"
"RP11-18I14.10",263,0.019873,0.72,"extend survival"
"LINC00853",16,0.019889,0.718,"extend survival"
"PTPN5",210,0.019892,0.719,"extend survival"
"GALNT7",487,0.019902,1.392,"reduce survival"
"DRAM2",814,0.019921,1.39,"reduce survival"
"TIMP2",10334,0.019937,1.387,"reduce survival"
"MBOAT1",129,0.019973,1.391,"reduce survival"
"TMEM178B",976,0.019997,1.389,"reduce survival"
"RP11-475O23.2",5,0.020003,1.389,"reduce survival"
"LINC00944",4,0.020045,1.391,"reduce survival"
"CPD",1508,0.020048,1.39,"reduce survival"
"IL5",2,0.02006,1.393,"reduce survival"
"AD000090.2",231,0.020063,1.39,"reduce survival"
"GAL3ST4",1206,0.020072,1.388,"reduce survival"
"CASP6",273,0.020092,1.389,"reduce survival"
"MMP11",74,0.0201,1.389,"reduce survival"
"IL7R",45,0.020106,1.39,"reduce survival"
"ZBTB1",765,0.020141,1.391,"reduce survival"
"TMEM87B",440,0.02016,1.39,"reduce survival"
"FABP5P2",2,0.020182,1.392,"reduce survival"
"KRT18P17",2,0.020196,1.387,"reduce survival"
"EHMT1",2116,0.020199,1.389,"reduce survival"
"ZCCHC8",590,0.020267,1.39,"reduce survival"
"B4GALT4",550,0.020293,1.387,"reduce survival"
"ZBTB42",209,0.020335,1.388,"reduce survival"
"DBP",763,0.020342,0.72,"extend survival"
"FAM115D",4,0.020352,1.39,"reduce survival"
"BMP8A",71,0.020366,1.389,"reduce survival"
"NSRP1",957,0.020391,1.389,"reduce survival"
"VMP1",3515,0.020392,1.388,"reduce survival"
"ZDHHC15",324,0.020405,1.387,"reduce survival"
"RP11-446E24.4",2,0.020417,1.405,"reduce survival"
"ANKRD52",2651,0.020436,1.389,"reduce survival"
"SLFNL1",57,0.020539,1.387,"reduce survival"
"RP11-696D21.2",9,0.020549,1.387,"reduce survival"
"CHD5",285,0.020611,0.721,"extend survival"
"TXNDC5",33,0.020616,1.388,"reduce survival"
"DNAJC10",2234,0.020652,1.388,"reduce survival"
"CTD-2619J13.17",105,0.020659,1.388,"reduce survival"
"SNORD62B",5,0.020678,1.388,"reduce survival"
"RP11-184A2.3",1,0.020679,0.693,"extend survival"
"DENND5A",4373,0.02068,1.387,"reduce survival"
"CTD-2008P7.1",2,0.020681,0.719,"extend survival"
"RHBDF1",1058,0.020692,1.386,"reduce survival"
"WWC3",941,0.020706,1.387,"reduce survival"
"THAP2",229,0.020719,1.386,"reduce survival"
"LINC00152",366,0.02072,1.386,"reduce survival"
"TMEM168",756,0.020728,1.388,"reduce survival"
"DNAJB13",11,0.020731,1.387,"reduce survival"
"FPGT",268,0.020766,1.387,"reduce survival"
"BIN3",358,0.020767,1.386,"reduce survival"
"TMEM2",671,0.020778,1.387,"reduce survival"
"COX5B",5184,0.020803,0.721,"extend survival"
"CTC-453G23.5",4,0.020809,1.387,"reduce survival"
"RP11-176H8.1",13,0.02086,0.721,"extend survival"
"DNASE1L3",4,0.020867,0.721,"extend survival"
"TREM1",73,0.020877,1.386,"reduce survival"
"SH3BP5-AS1",338,0.020894,1.387,"reduce survival"
"ZNF497",124,0.020907,1.387,"reduce survival"
"C1QC",7032,0.020922,1.386,"reduce survival"
"MYL12A",1575,0.020929,1.385,"reduce survival"
"TPM2",4321,0.020942,1.386,"reduce survival"
"ESPNL",27,0.020969,1.385,"reduce survival"
"ANO8",3554,0.020995,1.384,"reduce survival"
"RP5-1074L1.4",156,0.021,1.386,"reduce survival"
"MIR214",4,0.021018,1.386,"reduce survival"
"UBE2E2-AS1",1,0.021019,1.389,"reduce survival"
"ESRRB",23,0.02102,1.387,"reduce survival"
"SEPT9",11336,0.021032,1.384,"reduce survival"
"TBC1D15",993,0.021108,1.386,"reduce survival"
"PF4V1",1,0.021121,1.402,"reduce survival"
"GPATCH1",413,0.021124,1.386,"reduce survival"
"RP5-1119A7.17",15,0.021145,0.721,"extend survival"
"AC073343.13",27,0.021176,1.386,"reduce survival"
"RPE",710,0.021183,1.386,"reduce survival"
"RP11-15H20.2",1,0.021198,1.396,"reduce survival"
"SNRPA1",1001,0.021213,1.383,"reduce survival"
"RP11-1112G13.3",1,0.021222,1.386,"reduce survival"
"UBE2Z",2802,0.021228,1.385,"reduce survival"
"FAM131A",1539,0.021241,1.383,"reduce survival"
"TMEM39A",567,0.021243,1.386,"reduce survival"
"ARHGAP23P1",6,0.021244,1.384,"reduce survival"
"CDH6",564,0.021262,1.384,"reduce survival"
"CHERP",1149,0.021262,1.384,"reduce survival"
"C1orf115",246,0.021285,0.722,"extend survival"
"NEDD1",392,0.021342,1.384,"reduce survival"
"RP11-452K12.3",2,0.02136,0.722,"extend survival"
"NOTCH3",2728,0.021361,1.385,"reduce survival"
"C1RL",714,0.021366,1.385,"reduce survival"
"HPX",87,0.021368,1.385,"reduce survival"
"SLC6A9",1512,0.02138,1.385,"reduce survival"
"CTPS2",559,0.02139,1.385,"reduce survival"
"RP1-46F2.2",1,0.021404,0.709,"extend survival"
"GAS7",4164,0.021413,1.384,"reduce survival"
"RARA",1148,0.021439,1.383,"reduce survival"
"PTN",14365,0.021464,1.384,"reduce survival"
"FCGR3A",2189,0.021469,1.384,"reduce survival"
"NKIRAS2",200,0.021492,1.384,"reduce survival"
"RSU1",1598,0.021494,1.384,"reduce survival"
"CALCOCO1",3050,0.021496,1.385,"reduce survival"
"GALNTL6",21,0.021557,0.722,"extend survival"
"EPSTI1",225,0.02158,1.384,"reduce survival"
"RP11-798M19.6",190,0.02159,1.385,"reduce survival"
"ZIK1",263,0.0216,1.385,"reduce survival"
"RP11-678G14.3",21,0.021607,1.381,"reduce survival"
"HHIP-AS1",49,0.021621,1.383,"reduce survival"
"LINC00908",4,0.021624,1.383,"reduce survival"
"AKR1C3",198,0.02166,0.723,"extend survival"
"SLC2A4",24,0.021663,0.724,"extend survival"
"SLC10A6",7,0.021671,1.384,"reduce survival"
"RP3-406P24.4",2,0.021673,0.721,"extend survival"
"ASAP3",1763,0.021678,1.385,"reduce survival"
"MLN",5,0.021699,1.384,"reduce survival"
"UNC45A",2127,0.021708,1.382,"reduce survival"
"AC118754.4",4,0.021718,0.721,"extend survival"
"ASPG",3,0.021733,0.721,"extend survival"
"UBA1",9784,0.021734,1.381,"reduce survival"
"RP11-148K1.12",9,0.021756,1.384,"reduce survival"
"IQSEC3",113,0.021775,0.723,"extend survival"
"LMAN2L",936,0.021804,1.382,"reduce survival"
"TMEM43",1641,0.02181,1.383,"reduce survival"
"C3AR1",509,0.021817,1.384,"reduce survival"
"RP11-77K12.4",30,0.021832,1.383,"reduce survival"
"CCDC181",213,0.021869,1.382,"reduce survival"
"STEAP3-AS1",10,0.021894,1.383,"reduce survival"
"MRI1",490,0.02192,1.383,"reduce survival"
"MTCH2",1916,0.021945,1.382,"reduce survival"
"SOAT1",904,0.02197,1.383,"reduce survival"
"AK2",2872,0.021977,1.382,"reduce survival"
"NLGN4X",894,0.021991,1.382,"reduce survival"
"SMC4",280,0.022016,1.384,"reduce survival"
"EWSR1",6839,0.02202,1.382,"reduce survival"
"RNU6-1053P",3,0.022025,1.383,"reduce survival"
"CCNYL1",379,0.022027,1.384,"reduce survival"
"NADK",2275,0.022029,1.383,"reduce survival"
"RP11-157J24.2",14,0.022042,1.381,"reduce survival"
"TRPM4",619,0.022045,1.382,"reduce survival"
"ASXL1",2219,0.022051,1.383,"reduce survival"
"CTD-2126E3.3",4,0.022072,1.385,"reduce survival"
"AC005197.2",66,0.022083,1.381,"reduce survival"
"RP11-783K16.5",1,0.022085,1.449,"reduce survival"
"ARHGEF5",23,0.022097,1.382,"reduce survival"
"RP11-359E10.1",230,0.022105,1.381,"reduce survival"
"BEND3P2",1,0.022111,0.704,"extend survival"
"POSTN",241,0.022117,1.383,"reduce survival"
"KCNH6",10,0.022135,0.722,"extend survival"
"GALR3",14,0.022147,0.723,"extend survival"
"XPO4",501,0.022148,1.382,"reduce survival"
"NLRC4",81,0.022172,1.382,"reduce survival"
"ZNF146",1516,0.022173,1.383,"reduce survival"
"MGST1",1605,0.022177,1.381,"reduce survival"
"E2F4",1860,0.02219,1.382,"reduce survival"
"AKR1C1",75,0.02223,0.724,"extend survival"
"ZNF154",288,0.022259,1.383,"reduce survival"
"RP11-158J3.2",1,0.02227,0.723,"extend survival"
"AC004899.3",1,0.022288,0.72,"extend survival"
"CST1",3,0.022296,1.382,"reduce survival"
"SGCB",2714,0.022333,1.38,"reduce survival"
"RP11-445N20.3",16,0.022344,0.725,"extend survival"
"AF064860.7",6,0.022361,1.381,"reduce survival"
"FBXO9",1421,0.022367,1.382,"reduce survival"
"FTL",50519,0.022387,1.381,"reduce survival"
"LMO2",2187,0.022391,1.382,"reduce survival"
"hsa-mir-6080",60,0.022421,1.381,"reduce survival"
"IRF2",742,0.022437,1.382,"reduce survival"
"GLIPR1L1",21,0.022446,1.383,"reduce survival"
"RAB32",466,0.022502,1.381,"reduce survival"
"FILIP1L",389,0.022504,1.382,"reduce survival"
"CLEC12A",27,0.022507,1.382,"reduce survival"
"RP11-388M20.9",3,0.022525,0.718,"extend survival"
"RALGDS",4790,0.022535,1.382,"reduce survival"
"AC010900.2",1,0.022585,1.393,"reduce survival"
"ATAD2B",319,0.022595,1.383,"reduce survival"
"HOTAIRM1",102,0.02261,1.38,"reduce survival"
"ADRM1",1244,0.022643,1.376,"reduce survival"
"RP11-430C7.5",31,0.022643,1.38,"reduce survival"
"RP5-1086K13.1",16,0.022645,1.38,"reduce survival"
"SERPINH1P1",1,0.02266,1.401,"reduce survival"
"RP11-222A11.1",20,0.022692,1.381,"reduce survival"
"PDLIM4",1408,0.022714,1.38,"reduce survival"
"PCED1B",134,0.022746,1.38,"reduce survival"
"DNAJC19P5",7,0.022751,1.38,"reduce survival"
"GIGYF2",1313,0.022755,1.38,"reduce survival"
"ZNF597",29,0.022768,1.38,"reduce survival"
"USO1",1364,0.022769,1.38,"reduce survival"
"FBXO25",397,0.02279,0.725,"extend survival"
"AC004019.13",29,0.022806,0.725,"extend survival"
"RP11-834C11.6",1,0.022832,1.393,"reduce survival"
"ELAVL1",2133,0.022836,1.379,"reduce survival"
"AC108488.4",55,0.022839,1.379,"reduce survival"
"RP11-218E20.5",1,0.022844,1.388,"reduce survival"
"FKBP9",2291,0.022849,1.379,"reduce survival"
"MAP3K7CL",186,0.022872,1.379,"reduce survival"
"PAMR1",797,0.022872,1.38,"reduce survival"
"FUCA2",893,0.022891,1.38,"reduce survival"
"LINC00928",16,0.022898,1.38,"reduce survival"
"HDHD3",463,0.0229,1.378,"reduce survival"
"SNCB",428,0.022904,0.724,"extend survival"
"CROT",725,0.022915,1.379,"reduce survival"
"CDC27",1036,0.02292,1.38,"reduce survival"
"BLZF2P",2,0.022988,1.38,"reduce survival"
"RP11-482D24.3",7,0.022997,1.379,"reduce survival"
"AC068134.10",8,0.023025,1.378,"reduce survival"
"AC137932.1",48,0.023052,1.381,"reduce survival"
"TUBB6",1612,0.023058,1.379,"reduce survival"
"RPL36AP41",1,0.023063,1.398,"reduce survival"
"TCL1A",1,0.02307,0.719,"extend survival"
"RP11-350N15.4",9,0.023074,1.379,"reduce survival"
"RUFY1",1342,0.023077,1.38,"reduce survival"
"FAM72D",7,0.023085,1.375,"reduce survival"
"CARD8",886,0.023095,1.381,"reduce survival"
"EBLN2",12,0.023098,1.38,"reduce survival"
"HNRNPH1",8940,0.023109,1.38,"reduce survival"
"GLI3",387,0.023112,1.379,"reduce survival"
"AC022819.3",4,0.023116,1.379,"reduce survival"
"THOC2",1238,0.023145,1.38,"reduce survival"
"SLC30A7",515,0.023152,1.38,"reduce survival"
"PHF15",1274,0.023166,0.726,"extend survival"
"RP11-977G19.11",22,0.023193,1.38,"reduce survival"
"RP11-434C1.3",1,0.02324,0.703,"extend survival"
"SH3BP5L",1505,0.023276,1.376,"reduce survival"
"PNKP",1587,0.023296,1.378,"reduce survival"
"KIAA0586",266,0.023302,1.38,"reduce survival"
"ANGPT1",127,0.023359,1.379,"reduce survival"
"CLEC4G",8,0.023365,0.725,"extend survival"
"AC068831.10",12,0.023367,0.725,"extend survival"
"CANT1",1518,0.023376,1.378,"reduce survival"
"RP11-524F11.1",40,0.023384,1.378,"reduce survival"
"LINC00854",85,0.023392,1.379,"reduce survival"
"MAP1LC3C",23,0.023412,1.378,"reduce survival"
"AC004448.5",10,0.023438,1.377,"reduce survival"
"C1orf226",484,0.023467,1.378,"reduce survival"
"FABP6",20,0.023472,0.726,"extend survival"
"CHAF1B",282,0.023478,1.375,"reduce survival"
"SWT1",217,0.023515,1.378,"reduce survival"
"CPA2",12,0.023517,1.377,"reduce survival"
"RP11-130C6.1",1,0.023522,0.722,"extend survival"
"C4B",667,0.023545,1.379,"reduce survival"
"PDGFA",1368,0.023563,1.377,"reduce survival"
"AC093673.5",359,0.023565,1.377,"reduce survival"
"ZNF615",244,0.023586,1.379,"reduce survival"
"ETV1",2480,0.023588,1.378,"reduce survival"
"NSUN7",78,0.023593,1.378,"reduce survival"
"CUL7",779,0.023597,1.378,"reduce survival"
"GPC6",181,0.023605,1.377,"reduce survival"
"DHX35",505,0.023609,1.378,"reduce survival"
"LINC00551",3,0.02361,1.378,"reduce survival"
"EEF1B2P4",1,0.023614,1.378,"reduce survival"
"SGSH",1067,0.023639,1.377,"reduce survival"
"CTD-2267D19.6",9,0.023651,1.376,"reduce survival"
"KDELR1",3306,0.023722,1.376,"reduce survival"
"LPAR4",22,0.023722,1.377,"reduce survival"
"ZNF512B",2519,0.023729,1.377,"reduce survival"
"DENND2D",137,0.02373,1.377,"reduce survival"
"HMGA1P7",1,0.023753,0.721,"extend survival"
"TPI1P2",13,0.023755,1.378,"reduce survival"
"MMP14",6075,0.023775,1.376,"reduce survival"
"CTD-2023N9.3",2,0.0238,0.725,"extend survival"
"RRBP1",4711,0.023813,1.377,"reduce survival"
"AC003092.1",1,0.023818,1.377,"reduce survival"
"RP13-15M17.1",4,0.023849,1.377,"reduce survival"
"CACNA1I",83,0.023856,0.726,"extend survival"
"RP1-20N2.6",39,0.023858,1.378,"reduce survival"
"SHOX2",78,0.023884,1.377,"reduce survival"
"NUP188",1655,0.023885,1.376,"reduce survival"
"RP11-224O19.2",40,0.023896,1.376,"reduce survival"
"RPS10P16",1,0.023917,0.723,"extend survival"
"SKIDA1",80,0.023935,1.376,"reduce survival"
"BVES",223,0.023942,1.375,"reduce survival"
"FANCC",398,0.023944,1.374,"reduce survival"
"ACIN1",5835,0.023963,1.378,"reduce survival"
"FCGR1A",288,0.023984,1.376,"reduce survival"
"IL4R",687,0.023996,1.377,"reduce survival"
"HSP90B1",13865,0.023999,1.376,"reduce survival"
"C9orf135",6,0.024021,1.376,"reduce survival"
"LITAF",2602,0.024028,1.375,"reduce survival"
"XXbac-B476C20.13",3,0.024036,0.72,"extend survival"
"ZNF548",301,0.024041,1.377,"reduce survival"
"AQP4",12042,0.024062,1.375,"reduce survival"
"GRB10",1734,0.024099,1.377,"reduce survival"
"WBP1",560,0.024105,1.377,"reduce survival"
"BRD7P3",1,0.024119,1.38,"reduce survival"
"AC013268.5",6,0.02412,0.726,"extend survival"
"GPR83",13,0.024126,0.727,"extend survival"
"DDX3X",4964,0.024157,1.377,"reduce survival"
"TICRR",138,0.024176,1.375,"reduce survival"
"RP11-326I19.3",1,0.024189,1.382,"reduce survival"
"RP4-683L5.1",6,0.024195,0.722,"extend survival"
"RP4-773N10.4",241,0.024204,1.376,"reduce survival"
"LRRC41",2109,0.024209,1.375,"reduce survival"
"ZNF566",342,0.024213,1.376,"reduce survival"
"ENPP7P1",5,0.024215,0.727,"extend survival"
"PSMD5",682,0.024228,1.376,"reduce survival"
"U2SURP",2035,0.024229,1.377,"reduce survival"
"SHISA5",4464,0.02423,1.373,"reduce survival"
"CDK11B",1535,0.024231,1.375,"reduce survival"
"REXO2",524,0.024231,1.376,"reduce survival"
"RP11-690I21.1",2,0.024235,1.38,"reduce survival"
"RNU6-415P",8,0.024285,0.726,"extend survival"
"CA2",1441,0.024289,1.376,"reduce survival"
"RP11-410E4.1",6,0.024314,1.375,"reduce survival"
"CCRL2",66,0.024318,1.375,"reduce survival"
"FMO1",4,0.024339,0.727,"extend survival"
"CASK-AS1",1,0.024351,1.378,"reduce survival"
"AL590483.1",1,0.024371,0.725,"extend survival"
"RP11-1C8.4",8,0.024371,0.727,"extend survival"
"C8orf34",61,0.024374,1.375,"reduce survival"
"IL18BP",524,0.024375,1.376,"reduce survival"
"DOK3",482,0.02441,1.375,"reduce survival"
"RCAN1",3303,0.024435,1.376,"reduce survival"
"CREB3L3",2,0.024455,0.719,"extend survival"
"IQCG",587,0.024466,1.373,"reduce survival"
"KCNE3",87,0.02447,1.376,"reduce survival"
"NUP54",737,0.024507,1.374,"reduce survival"
"MNX1",31,0.024563,1.374,"reduce survival"
"AC138969.4",13,0.024564,1.374,"reduce survival"
"GAPT",61,0.024567,1.374,"reduce survival"
"RP11-161H23.9",11,0.024568,1.373,"reduce survival"
"FUCA1",491,0.02462,1.374,"reduce survival"
"SLC5A5",5,0.02462,0.726,"extend survival"
"SHQ1",245,0.024636,1.375,"reduce survival"
"ZNF816",74,0.024641,1.375,"reduce survival"
"RP1-63G5.7",1,0.024657,0.724,"extend survival"
"PMS2CL",470,0.024757,1.374,"reduce survival"
"C11orf88",4,0.024778,1.373,"reduce survival"
"RP11-1105G2.4",2,0.024811,1.375,"reduce survival"
"KCTD3",2168,0.024816,1.375,"reduce survival"
"ANGPTL4",775,0.024823,1.373,"reduce survival"
"CCR1",253,0.024829,1.373,"reduce survival"
"ZNF202",403,0.024834,1.375,"reduce survival"
