"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"ZNRF3-AS1",5,0.002148,1.542,"reduce survival"
"TBX19",108,0.002156,1.542,"reduce survival"
"STK40",1996,0.002169,1.54,"reduce survival"
"PDLIM3",947,0.002184,1.538,"reduce survival"
"RP11-311P8.2",16,0.0022,1.54,"reduce survival"
"SLC11A1",1250,0.002205,1.539,"reduce survival"
"CPOX",720,0.002213,1.539,"reduce survival"
"CTD-2306M10.1",8,0.002223,1.537,"reduce survival"
"RP11-848P1.2",48,0.002223,1.539,"reduce survival"
"AC144835.1",6,0.002235,1.538,"reduce survival"
"RP11-481A20.11",39,0.002246,0.648,"extend survival"
"DMRTA2",175,0.002252,1.539,"reduce survival"
"SLC4A2",2475,0.002274,1.536,"reduce survival"
"SLC34A2",27,0.002279,1.535,"reduce survival"
"NAT10",1561,0.002293,1.534,"reduce survival"
"IQGAP1",2084,0.002306,1.537,"reduce survival"
"PLCG1",5253,0.002307,1.538,"reduce survival"
"PTPN21",517,0.002316,1.537,"reduce survival"
"CDKN2A",198,0.00232,0.651,"extend survival"
"TBC1D22B",436,0.00232,1.536,"reduce survival"
"ABCA13",39,0.002328,1.534,"reduce survival"
"STAT3",4902,0.00234,1.535,"reduce survival"
"GNG3",10,0.002354,1.532,"reduce survival"
"C20orf26",72,0.002356,1.535,"reduce survival"
"COPS7B",1124,0.002356,1.533,"reduce survival"
"SEMA6A",1889,0.002359,1.537,"reduce survival"
"TRGC1",5,0.00236,0.65,"extend survival"
"CNOT11",947,0.002364,1.533,"reduce survival"
"HOXA4",4,0.002366,1.533,"reduce survival"
"POR",2004,0.00237,1.53,"reduce survival"
"HGD",14,0.002373,1.536,"reduce survival"
"RP11-1109F11.5",14,0.002374,1.533,"reduce survival"
"SALL1",1649,0.002415,1.534,"reduce survival"
"TRIP6",3162,0.002417,1.532,"reduce survival"
"OST4",898,0.002419,1.527,"reduce survival"
"IGBP1-AS1",10,0.002428,1.533,"reduce survival"
"HGF",140,0.002431,1.533,"reduce survival"
"UHRF2P1",1,0.002437,1.532,"reduce survival"
"MS4A4A",281,0.002439,1.535,"reduce survival"
"KXD1",1110,0.002465,1.528,"reduce survival"
"NBPF1",2288,0.002481,1.533,"reduce survival"
"C21orf62",14,0.002485,1.532,"reduce survival"
"UGCG",974,0.002488,1.533,"reduce survival"
"AC005822.1",6,0.00249,1.531,"reduce survival"
"ZNF446",300,0.002501,1.532,"reduce survival"
"HECTD3",1579,0.002505,1.533,"reduce survival"
"CNOT3",947,0.002508,1.529,"reduce survival"
"DCBLD2",906,0.002532,1.53,"reduce survival"
"IP6K2",3400,0.002555,1.525,"reduce survival"
"CUX2",30,0.002584,0.653,"extend survival"
"AC073052.1",2,0.002586,1.531,"reduce survival"
"SFSWAP",2609,0.002588,1.529,"reduce survival"
"CSAD",922,0.00259,1.529,"reduce survival"
"C9orf117",54,0.002614,1.529,"reduce survival"
"FBXO40",2,0.002637,0.655,"extend survival"
"AC007566.10",18,0.002641,1.529,"reduce survival"
"MMAA",213,0.002645,1.529,"reduce survival"
"RP11-638I2.10",2,0.002654,1.524,"reduce survival"
"CTD-3064M3.7",17,0.002665,1.528,"reduce survival"
"MYO5B",134,0.002679,1.522,"reduce survival"
"CCT6P3",173,0.002697,1.524,"reduce survival"
"CRB2",1263,0.002707,1.526,"reduce survival"
"BOP1",222,0.002714,1.52,"reduce survival"
"MYL9",220,0.002715,1.524,"reduce survival"
"GALR1",31,0.00272,1.526,"reduce survival"
"LRRC66",53,0.002729,1.524,"reduce survival"
"PDPN",2326,0.00274,1.525,"reduce survival"
